src;dst;custo;tipo
R00;R01;1;link
R00;R02;1;link
R00;R03;1;link
R01;R00;1;link
R01;R02;1;link
R01;R07;1;link
R02;R00;1;link
R02;R01;1;link
R02;R05;1;link
R03;R00;1;link
R03;R04;1;link
R03;R08;1;link
R04;R03;1;link
R04;R05;1;link
R04;R06;1;link
R05;R02;1;link
R05;R04;1;link
R05;R10;1;link
R05;R12;1;link
R06;R04;1;link
R06;R07;1;link
R07;R01;1;link
R07;R06;1;link
R07;R09;1;link
R08;R03;1;link
R08;R11;1;link
R08;R13;1;link
R09;R07;1;link
R09;R10;1;link
R09;R11;1;link
R09;R13;1;link
R10;R05;1;link
R10;R09;1;link
R11;R08;1;link
R11;R09;1;link
R11;R12;1;link
R12;R05;1;link
R12;R11;1;link
R12;R13;1;link
R13;R08;1;link
R13;R09;1;link
R13;R12;1;link
